ID	OPERATEID	USERID	USERIP	URL	STARTTIME	ENDTIME	MODULE	DESCRIPTION	MACADDR	TIMECOST	OPERATE
255	e64c6540e6f111e35455c069ae941059	admin		/authorization/controller/GroupController/dataGrid.do	2014/5/29 13:27:17	2014/5/29 13:27:17				25	
256	e6712b50e6f111e35455c069ae941059	admin		/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 13:27:17	2014/5/29 13:27:17				34	
257	e6bed620e6f111e35455c069ae941059	admin		/authorization/controller/UserController/dataGrid.do	2014/5/29 13:27:18	2014/5/29 13:27:18				20	
258	b93fdb40e6f611e391c4ed66750bb742	admin	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:01:49	2014/5/29 14:01:49				107	
259	ba085b60e6f611e391c4ed66750bb742	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:01:50	2014/5/29 14:01:50				58	
260	d13b13e0e6f611e391c4ed66750bb742	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/addPriv.do	2014/5/29 14:02:29	2014/5/29 14:02:29				78	
261	d145c240e6f611e391c4ed66750bb742	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:02:29	2014/5/29 14:02:29				20	
262	b5ee0640e6f811e3287bef3a716ea6da	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:16:02	2014/5/29 14:16:02				113	
263	5e552390e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/UserController/dataGrid.do	2014/5/29 14:20:45	2014/5/29 14:20:45				27	
264	5e82c340e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:20:45	2014/5/29 14:20:45				20	
265	5eb34920e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:20:46	2014/5/29 14:20:46				31	
266	62dd91e0e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/UserController/dataGrid.do	2014/5/29 14:20:53	2014/5/29 14:20:53				17	
267	63051710e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/GroupController/dataGrid.do	2014/5/29 14:20:53	2014/5/29 14:20:53				8	
268	6337bfd0e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	/authorization/controller/PrivController/queryTreeGrid.do	2014/5/29 14:20:53	2014/5/29 14:20:53				18	
