SYS_SQLLOG_ID	SQLID	USERID	USERIP	MACADDR	SQL	STARTTIME	ENDTIME	SUCCESS	TYPE	TIMECOST
324	0179d360e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id as userid, usercode, username, cuserid, cdate, euserid, edate, password, isvalid,mac from SYS_USERwhere userCode = ?	2014/5/29 11:47:50	2014/5/29 11:47:50	01	01	4
325	036a7fd0e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id as userid, usercode, username, cuserid, cdate, euserid, edate, password, isvalid,mac from SYS_USERwhere userCode = ?	2014/5/29 11:47:53	2014/5/29 11:47:53	01	01	4
326	04ca0fd0e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id as userid, usercode, username, cuserid, cdate, euserid, edate, password, isvalid,mac from SYS_USERwhere userCode = ?	2014/5/29 11:47:55	2014/5/29 11:47:55	01	01	4
327	04cad320e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 11:47:55	2014/5/29 11:47:55	01	01	3
328	04cb6f60e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 11:47:55	2014/5/29 11:47:55	01	01	3
329	04cbe490e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 11:47:55	2014/5/29 11:47:55	01	01	3
330	04cc59c0e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 11:47:55	2014/5/29 11:47:55	01	01	3
331	04ccf600e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select url from SYS_PRIVILEGE	2014/5/29 11:47:55	2014/5/29 11:47:55	01	01	3
332	06037a30e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:47:57	2014/5/29 11:47:57	01	01	9
333	0603c850e6e411e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:47:57	2014/5/29 11:47:57	01	01	2
